genitive_form,nominative_form,example_count,example_raw
Borisava,Boris,1,"ANDRLIĆ  Borisava TRAJKO, BiH, Srbin, zemljoradnik, u NOB od 1944, u brigadi od "
Ljubomira,Ljubomir,1,"LAZAREVIĆ  Ljubomira RADOMIR, 1917, Budimpešta Mađarska, Srbin, student, u NOB o"
Radivoja,Radivoj,1,"DRINČEVIĆ  Radivoja RADISAV, 1926, Lukavac, Valjevo, Srbija, Srbin, zemljoradnik"
Božidara,Božidar,1,"MIHAILOVIĆ  Božidara ČEDOMIR, 1924, Dren, Lazarevac, Srbija, Srbin, zemljoradnik"
Aleksandra,Aleksandar,1,"JOVANOVIĆ  Aleksandra RADOMIR, 1923, Kumodraž, Beograd, Srbija, Srbin, zemljorad"
Čedomira,Čedomir,1,"VUČIČEVIĆ  Čedomira TOMO, Srbin, u NOB od 1944, u brigadi od 1944, III bataljon,"
Andrije,Andrija,2,"BOČINA  Andrije ANTE, 1924, Ogorje Gornje, Muć, Solin, Hrvat- ska, Hrvat, zemljo"
Radovana,Radovan,1,"JEVRIĆ  Radovana PRVOSLAV, 1923, Vrelo, Ub, Srbija, Srbin, zemljoradnik, u NOB o"
Budimira,Budimir,1,"STOJANOVIĆ  Budimira PETAR, Srbin, zemljoradnik, u NOB od 1944, u brigadi od 194"
Ruhita,Ruhit,1,"HORAZOVIĆ  Ruhita SMAJO, BiH, Musliman, zemljoradnik, u NOB od 1943, u brigadi o"
Pere,Pera,1,"LUBARDA  Pere SRETEN, 1922, Zagorice, Rogatica, BiH, Srbin, zemljoradnik, u NOB "
Jovana,Jovan,1,"STANIMIROVIĆ  Jovana VLAJKO, Srbin, u NOB od 1944, u brigadi od 1944, IV bataljo"
Perice,Perica,1,"RADOVANČIĆ  Perice TUGOMIL, 1921, Bogomolje, Hvar, Hrvat- ska, Hrvat, trgovački "
Mileta,Mile,1,"JOTIĆ  Mileta VLADIMIR, 1924, Beograd, Srbija, Srbin, radnik- mornar, u NOB od n"
Ljubinka,Ljubinko,1,"MARINKOVIĆ  Ljubinka ĐURAĐ, 1925, Slepčević, Šabac, Srbija, Srbin, zemljoradnik,"
Špire,Špira,1,"ŠPANJA  Špire MILAN, 1915, Dobropoljci, Benkovac, Hrvatska, Hrvat, zemljoradnik,"
Novaka,Novak,1,"ĆORAC  Novaka SVETOZAR, 1913, s. Dapsiće, Ivangrad, Crna Gora, Crnogorac, zemljo"
Vladimira,Vladimir,1,"MARKOVIĆ  Vladimira ALEKSANDAR, Brezovica, Ub, Srbija, • Srbin, zemljoradnik, u "
